2026-03-14 16:06:07,659 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657889, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529562521}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8119'}
2026-03-14 16:06:07,659 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657905, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529562545}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811a'}
2026-03-14 16:06:07,659 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657920, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529562570}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811b'}
2026-03-14 16:06:07,660 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657934, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529562587}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811c'}
2026-03-14 16:06:07,660 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 7, 657946, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529567657}, 'severity_level': 'critical', 'device_id': '69a65a2e2b7786f2fc2e37b8'}
2026-03-14 16:06:48,982 WARNING {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 48, 981878, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_up', 'status': {'alive': True, 'latency_ms': 1419, 'last_updated_ms': 1773529603929}, 'severity_level': 'medium', 'device_id': '69a65a1ba9713e22895f8116'}
2026-03-14 16:06:48,982 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 48, 981924, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529602533}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8117'}
2026-03-14 16:06:48,982 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 48, 981944, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529602557}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8118'}
2026-03-14 16:06:48,983 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 48, 981963, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529602580}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f8119'}
2026-03-14 16:06:48,983 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 48, 981993, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529603866}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811a'}
2026-03-14 16:06:48,983 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 48, 982009, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529603884}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811b'}
2026-03-14 16:06:48,983 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 48, 982024, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529603927}, 'severity_level': 'critical', 'device_id': '69a65a1ba9713e22895f811c'}
2026-03-14 16:06:48,984 CRITICAL {'schema_version': 1, 'timestamp': datetime.datetime(2026, 3, 14, 23, 6, 48, 982038, tzinfo=datetime.timezone.utc), 'event_type': 'endpoint_down', 'status': {'alive': False, 'latency_ms': 5000, 'last_updated_ms': 1773529608981}, 'severity_level': 'critical', 'device_id': '69a65a2e2b7786f2fc2e37b8'}
